Country,Fermentation Score,Winter Severity Score
Afghanistan,6.0,8.0
Albania,7.0,6.0
Algeria,4.0,3.5
Andorra,5.0,8.5
Angola,2.0,0.0
Antigua and Barbuda,1.0,0.0
Argentina,4.0,4.0
Armenia,8.0,8.0
Australia,3.0,2.5
Austria,7.5,8.0
Azerbaijan,7.0,7.5
Bahamas,1.0,0.0
Bahrain,3.0,0.0
Bangladesh,6.0,0.0
Barbados,1.0,0.0
Belarus,8.5,9.0
Belgium,7.0,5.0
Belize,1.5,0.0
Benin,4.0,0.0
Bhutan,7.5,8.5
Bolivia,5.0,5.0
Bosnia and Herzegovina,7.5,7.0
Botswana,4.0,1.5
Brazil,3.0,0.5
Brunei,4.0,0.0
Bulgaria,9.0,7.0
Burkina Faso,4.0,0.0
Burundi,4.5,0.0
Cabo Verde,2.0,0.0
Cambodia,8.0,0.0
Cameroon,3.5,0.0
Canada,5.0,9.5
Central African Republic,3.0,0.0
Chad,3.0,0.0
Chile,4.0,5.0
China,9.5,6.5
Colombia,3.0,1.0
Comoros,1.5,0.0
"Congo, Democratic Republic of the",3.5,0.0
"Congo, Republic of the",3.5,0.0
Costa Rica,1.5,0.0
Croatia,6.5,5.5
Cuba,1.0,0.0
Cyprus,6.0,2.5
Czech Republic,8.0,7.5
Denmark,8.0,8.0
Djibouti,2.5,0.0
Dominica,1.0,0.0
Dominican Republic,1.0,0.0
Ecuador,3.0,1.0
Egypt,5.0,1.0
El Salvador,2.0,0.0
Equatorial Guinea,2.5,0.0
Eritrea,6.0,1.0
Estonia,8.0,9.0
Eswatini,3.0,1.5
Ethiopia,9.0,1.0
Fiji,1.5,0.0
Finland,8.5,9.5
France,8.5,6.0
Gabon,2.0,0.0
Gambia,3.0,0.0
Georgia,8.0,7.5
Germany,9.0,7.0
Ghana,6.0,0.0
Greece,7.5,3.5
Grenada,1.0,0.0
Guatemala,2.0,0.5
Guinea,3.0,0.0
Guinea-Bissau,3.0,0.0
Guyana,1.5,0.0
Haiti,1.5,0.0
Honduras,1.5,0.0
Hungary,7.5,7.0
Iceland,8.5,9.5
India,8.5,4.0
Indonesia,8.5,0.0
Iran,7.0,6.0
Iraq,5.0,2.5
Ireland,6.0,4.5
Israel,6.0,2.0
Italy,8.5,5.0
Ivory Coast,4.0,0.0
Jamaica,1.5,0.0
Japan,10.0,6.5
Jordan,6.0,3.0
Kazakhstan,7.5,9.5
Kenya,4.0,0.5
Kiribati,1.0,0.0
Kuwait,3.0,0.0
Kyrgyzstan,7.5,9.0
Laos,8.0,0.0
Latvia,8.5,9.0
Lebanon,6.5,3.5
Lesotho,3.0,7.0
Liberia,2.5,0.0
Libya,3.0,1.5
Liechtenstein,6.0,8.5
Lithuania,8.5,9.0
Luxembourg,6.5,6.0
Madagascar,2.5,1.0
Malawi,3.0,0.5
Malaysia,7.0,0.0
Maldives,1.5,0.0
Mali,3.0,0.0
Malta,4.0,2.0
Marshall Islands,1.0,0.0
Mauritania,4.0,0.0
Mauritius,1.5,0.0
Mexico,6.5,2.5
Micronesia,1.0,0.0
Moldova,7.0,7.5
Monaco,5.0,2.0
Mongolia,8.5,10.0
Montenegro,7.0,6.5
Morocco,5.0,3.0
Mozambique,2.0,0.0
Myanmar,8.5,0.0
Namibia,2.5,1.5
Nauru,1.0,0.0
Nepal,7.0,8.0
Netherlands,7.0,5.5
New Zealand,4.0,4.0
Nicaragua,1.5,0.0
Niger,3.0,0.0
Nigeria,7.0,0.0
North Korea,10.0,8.5
North Macedonia,7.5,6.5
Norway,8.0,9.5
Oman,3.0,0.0
Pakistan,6.0,4.5
Palau,1.0,0.0
Palestine,6.0,2.5
Panama,1.0,0.0
Papua New Guinea,1.5,0.0
Paraguay,2.5,1.0
Peru,4.0,3.0
Philippines,7.5,0.0
Poland,9.0,8.0
Portugal,6.5,3.0
Qatar,2.5,0.0
Romania,8.0,7.5
Russia,9.0,10.0
Rwanda,4.0,0.0
Saint Kitts and Nevis,1.0,0.0
Saint Lucia,1.0,0.0
Saint Vincent and the Grenadines,1.0,0.0
Samoa,1.0,0.0
San Marino,6.0,4.0
Sao Tome and Principe,1.0,0.0
Saudi Arabia,3.0,0.0
Senegal,4.0,0.0
Serbia,7.5,7.0
Seychelles,1.0,0.0
Sierra Leone,2.5,0.0
Singapore,6.0,0.0
Slovakia,8.0,7.5
Slovenia,7.0,7.0
Solomon Islands,1.0,0.0
Somalia,4.0,0.0
South Africa,4.0,3.0
South Korea,10.0,7.5
South Sudan,3.0,0.0
Spain,7.0,4.5
Sri Lanka,4.0,0.0
Sudan,5.0,0.0
Suriname,1.5,0.0
Sweden,8.5,9.0
Switzerland,8.0,8.5
Syria,6.0,3.5
Taiwan,7.5,1.5
Tajikistan,7.0,8.5
Tanzania,3.5,0.0
Thailand,8.5,0.0
Timor-Leste,2.0,0.0
Togo,3.5,0.0
Tonga,1.0,0.0
Trinidad and Tobago,1.0,0.0
Tunisia,4.5,2.0
Turkey,8.0,6.0
Turkmenistan,6.0,8.0
Tuvalu,1.0,0.0
Uganda,4.0,0.0
Ukraine,8.5,8.5
United Arab Emirates,2.5,0.0
United Kingdom,6.5,4.5
United States,5.5,6.0
Uruguay,4.0,2.5
Uzbekistan,6.5,8.0
Vanuatu,1.0,0.0
Vatican City,6.0,3.5
Venezuela,1.5,0.5
Vietnam,9.0,1.0
Yemen,3.5,0.5
Zambia,3.0,0.5
Zimbabwe,3.5,1.0