Country,Literary Atmosphere Score,Weather Score
Afghanistan,4.0,2.5
Albania,5.5,3.5
Algeria,6.5,1.0
Andorra,3.0,4.0
Angola,4.0,1.5
Antigua and Barbuda,5.0,1.0
Argentina,9.5,4.0
Armenia,6.0,3.0
Australia,7.0,0.5
Austria,8.5,6.5
Azerbaijan,5.0,2.5
Bahamas,2.0,0.5
Bahrain,2.5,0.0
Bangladesh,6.5,3.0
Barbados,4.5,1.0
Belarus,6.0,8.0
Belgium,7.0,9.0
Belize,2.0,1.5
Benin,2.5,1.5
Bhutan,2.0,4.5
Bolivia,3.5,2.0
Bosnia and Herzegovina,6.5,5.5
Botswana,3.0,1.0
Brazil,8.5,1.5
Brunei,1.5,2.0
Bulgaria,6.0,5.0
Burkina Faso,2.5,0.5
Burundi,1.5,3.0
Cabo Verde,3.0,1.0
Cambodia,2.0,2.5
Cameroon,4.0,2.0
Canada,8.5,8.0
Central African Republic,1.0,2.0
Chad,1.0,0.0
Chile,9.5,4.0
China,9.0,5.5
Colombia,9.0,4.5
Comoros,1.5,2.0
"Congo, Democratic Republic of the",2.5,2.5
"Congo, Republic of the",2.5,2.5
Costa Rica,3.5,3.5
Croatia,5.5,4.0
Cuba,7.5,1.5
Cyprus,4.0,1.5
Czech Republic,9.5,7.5
Denmark,8.5,8.5
Djibouti,1.0,0.0
Dominica,3.0,2.0
Dominican Republic,4.0,1.0
Ecuador,4.0,3.5
Egypt,8.0,0.0
El Salvador,4.5,2.0
Equatorial Guinea,1.0,2.5
Eritrea,1.5,0.5
Estonia,6.0,8.5
Eswatini,1.5,2.5
Ethiopia,4.5,2.0
Fiji,1.5,1.5
Finland,7.5,9.0
France,10.0,6.0
Gabon,2.0,2.5
Gambia,2.0,1.0
Georgia,6.0,4.0
Germany,9.5,7.5
Ghana,5.5,2.0
Greece,9.5,1.5
Grenada,2.0,1.0
Guatemala,6.0,2.5
Guinea,2.0,2.0
Guinea-Bissau,2.0,1.5
Guyana,3.5,2.5
Haiti,5.0,1.5
Honduras,2.5,2.0
Hungary,7.5,5.5
Iceland,10.0,9.5
India,9.0,3.0
Indonesia,6.0,2.5
Iran,9.0,1.5
Iraq,7.0,0.5
Ireland,10.0,9.5
Israel,7.5,1.0
Italy,9.5,2.5
Ivory Coast,4.0,2.0
Jamaica,5.0,1.0
Japan,9.5,6.5
Jordan,3.0,0.5
Kazakhstan,4.0,3.0
Kenya,6.0,2.5
Kiribati,1.0,1.0
Kuwait,2.5,0.0
Kyrgyzstan,5.0,3.5
Laos,2.5,2.5
Latvia,5.5,8.0
Lebanon,6.5,2.0
Lesotho,1.5,3.0
Liberia,2.0,2.5
Libya,2.0,0.0
Liechtenstein,2.5,6.0
Lithuania,6.0,8.0
Luxembourg,4.5,8.5
Madagascar,3.0,2.0
Malawi,2.5,2.0
Malaysia,4.0,2.0
Maldives,1.0,1.0
Mali,4.0,0.5
Malta,3.0,1.0
Marshall Islands,1.0,1.5
Mauritania,2.5,0.0
Mauritius,3.5,1.5
Mexico,9.0,2.5
Micronesia,1.0,2.0
Moldova,4.0,6.0
Monaco,1.5,2.5
Mongolia,3.5,2.0
Montenegro,4.5,4.0
Morocco,6.0,1.5
Mozambique,5.0,1.5
Myanmar,3.5,2.5
Namibia,2.0,0.5
Nauru,0.5,1.5
Nepal,4.0,4.0
Netherlands,7.5,8.5
New Zealand,7.5,7.0
Nicaragua,6.5,2.0
Niger,1.5,0.0
Nigeria,9.0,2.0
North Korea,1.0,6.0
North Macedonia,4.0,4.5
Norway,8.5,9.0
Oman,2.0,0.0
Pakistan,6.5,1.5
Palau,1.0,2.0
Palestine,6.0,2.0
Panama,2.5,2.5
Papua New Guinea,1.5,3.0
Paraguay,4.5,2.5
Peru,8.5,3.5
Philippines,5.5,2.0
Poland,9.0,7.5
Portugal,9.0,4.0
Qatar,2.0,0.0
Romania,7.0,6.0
Russia,10.0,8.5
Rwanda,2.5,4.0
Saint Kitts and Nevis,1.5,1.0
Saint Lucia,7.0,1.5
Saint Vincent and the Grenadines,1.5,1.0
Samoa,1.5,2.0
San Marino,2.0,3.0
Sao Tome and Principe,2.0,3.0
Saudi Arabia,4.5,0.0
Senegal,6.0,1.0
Serbia,6.5,5.0
Seychelles,1.5,2.0
Sierra Leone,2.5,2.5
Singapore,4.5,2.5
Slovakia,5.0,6.5
Slovenia,6.0,6.0
Solomon Islands,1.0,2.5
Somalia,5.0,0.5
South Africa,8.5,1.5
South Korea,7.0,5.5
South Sudan,1.0,1.5
Spain,9.5,2.0
Sri Lanka,5.0,2.5
Sudan,4.0,0.0
Suriname,2.5,2.5
Sweden,8.5,9.0
Switzerland,7.5,7.0
Syria,6.0,1.5
Taiwan,6.0,5.0
Tajikistan,4.0,3.0
Tanzania,5.5,2.0
Thailand,4.0,2.0
Timor-Leste,1.5,2.0
Togo,2.0,1.5
Tonga,1.0,2.0
Trinidad and Tobago,8.0,1.5
Tunisia,4.5,1.5
Turkey,8.5,4.0
Turkmenistan,2.5,1.0
Tuvalu,0.5,1.5
Uganda,3.5,3.0
Ukraine,7.0,7.0
United Arab Emirates,3.0,0.0
United Kingdom,10.0,9.5
United States,9.5,5.0
Uruguay,7.0,5.0
Uzbekistan,4.0,2.0
Vanuatu,1.0,2.5
Vatican City,3.0,2.5
Venezuela,5.0,2.5
Vietnam,6.0,3.0
Yemen,3.0,1.0
Zambia,2.0,2.0
Zimbabwe,6.0,2.0